Date,Event Description,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Camp Name,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Protection Event Context,Victim of Violence,Survivor or Victim Sex,Survivor or Victim Minor,Number of Attacks on Camps Reporting Destruction,Number of Attacks on Camps Reporting Damaged,Camp Resident Killed,Camp Resident Injured,Camp Residents Kidnapped,Camp Residents Arrested,Camp Residents Targeted with CRSV,Service Provider Killed,Service Provider Kidnapped,Service Provider Arrested,Service Provider Targeted with CRSV,SiND ID
2024-12-17,,Sudan,SDN,South Darfur State,12,24.8,(2) 25 km Precision ,Temporary/Makeshift Site,Host Government: Military,Sudanese Armed Forces,Aerial Bomb: Plane,Airstrike/Shelling,No Direct Victim Reported,No Direct Victim Reported,No Direct Victim Reported,0,1,0,0,0,0,0,0,0,0,0,96751
2024-12-17,,Sudan,SDN,South Darfur State,12,24.8,(2) 25 km Precision ,Temporary/Makeshift Site,Host Government: Military,Sudanese Armed Forces,Aerial Bomb: Plane,Airstrike/Shelling,"Camp Resident, Camp Resident Child",No Information,Minor,0,0,0,0,0,0,0,0,0,0,0,87871
2024-12-14,,Sudan,SDN,North Darfur State,13.6,25.3,"(3) District, Communicipality or Commune ",None,NSA,Rapid Support Forces,Shelling,Airstrike/Shelling,Camp Resident,No Information,Multiple,0,1,7,11,0,0,0,0,0,0,0,87942
2024-12-12,,Sudan,SDN,North Darfur State,13.6,25.3,(2) 25 km Precision ,Abu Shouk Camp,Multiple,"Militia, Rapid Support Forces",Artillery,Airstrike/Shelling,Camp Resident,No Information,Adult,0,1,0,1,0,0,0,0,0,0,0,88204
2024-12-12,,Sudan,SDN,North Darfur State,13.6,25.3,(2) 25 km Precision ,Unnamed Camp,NSA,Rapid Support Forces,Firearms,Targetted Attack on Camp,Camp Resident,No Information,Adult,0,1,0,1,0,0,0,0,0,0,0,88192
2024-12-11,,Sudan,SDN,North Darfur State,13.4,25.3,(2) 25 km Precision ,Zamzam Camp,NSA,Rapid Support Forces,Artillery,Airstrike/Shelling,Camp Resident,No Information,Multiple,0,1,15,64,0,0,0,0,0,0,0,87941
2024-12-10,,Sudan,SDN,North Darfur State,13.4,25.3,(2) 25 km Precision ,Zamzam Camp,NSA,Rapid Support Forces,Artillery,Airstrike/Shelling,Camp Resident,No Information,Multiple,0,1,9,1,0,0,0,0,0,0,0,87940
2024-12-08,,Sudan,SDN,North Darfur State,13.9,23.7,"(3) District, Communicipality or Commune ",Unnamed Camp,Host Government: Military,Sudanese Armed Forces,Aerial Bomb: Plane,Airstrike/Shelling,Camp Resident,No Information,Adult,0,1,27,0,0,0,0,0,0,0,0,88188
2024-12-06,,Sudan,SDN,North Darfur State,13.4,25.3,(2) 25 km Precision ,Zamzam Camp,NSA,Rapid Support Forces,Shelling,Airstrike/Shelling,No Direct Victim Reported,No Direct Victim Reported,No Direct Victim Reported,0,1,0,0,0,0,0,0,0,0,0,88166
2024-12-05,,Sudan,SDN,North Darfur State,13.6,25.3,(2) 25 km Precision ,Abu Shouk Camp,NSA,Rapid Support Forces,Artillery,Airstrike/Shelling,Camp Resident,No Information,Adult,0,1,1,0,0,0,0,0,0,0,0,88203
